pokemon_id,version_group_id,move_id,pokemon_move_method_id,level,order
1,14,33,1,1,
1,14,45,1,3,
1,14,73,1,7,
1,14,22,1,9,
1,14,77,1,13,1
1,14,79,1,13,2
1,14,36,1,15,
1,14,75,1,19,
1,14,230,1,21,
1,14,74,1,25,
1,14,38,1,27,
1,14,388,1,31,
1,14,235,1,33,
1,14,402,1,37,
1,14,80,2,0,
1,14,124,2,0,
1,14,130,2,0,
1,14,133,2,0,
1,14,174,2,0,
1,14,202,2,0,
1,14,203,2,0,
1,14,204,2,0,
1,14,267,2,0,
1,14,275,2,0,
1,14,320,2,0,
1,14,345,2,0,
1,14,437,2,0,
1,14,438,2,0,
1,14,20,3,0,
1,14,173,3,0,
1,14,202,3,0,
1,14,214,3,0,
1,14,235,3,0,
1,14,282,3,0,
1,14,388,3,0,
1,14,402,3,0,
1,14,520,3,0,
1,14,14,4,0,
1,14,15,4,0,
1,14,70,4,0,
1,14,76,4,0,
1,14,92,4,0,
1,14,104,4,0,
1,14,113,4,0,
1,14,148,4,0,
1,14,156,4,0,
1,14,164,4,0,
1,14,182,4,0,
1,14,188,4,0,
1,14,207,4,0,
1,14,213,4,0,
1,14,216,4,0,
1,14,218,4,0,
1,14,219,4,0,
1,14,237,4,0,
1,14,241,4,0,
1,14,249,4,0,
1,14,263,4,0,
1,14,412,4,0,
1,14,447,4,0,
1,14,474,4,0,
1,14,496,4,0,
1,14,497,4,0,
2,14,33,1,1,1
2,14,45,1,1,2
2,14,73,1,1,3
2,14,45,1,3,
2,14,73,1,7,
2,14,22,1,9,
2,14,77,1,13,1
2,14,79,1,13,2
2,14,36,1,15,
2,14,75,1,20,
2,14,230,1,23,
2,14,74,1,28,
2,14,38,1,31,
2,14,388,1,36,
2,14,235,1,39,
2,14,76,1,44,
2,14,20,3,0,
2,14,173,3,0,
2,14,202,3,0,
2,14,214,3,0,
2,14,235,3,0,
2,14,282,3,0,
2,14,388,3,0,
2,14,402,3,0,
2,14,520,3,0,
2,14,14,4,0,
2,14,15,4,0,
2,14,70,4,0,
2,14,76,4,0,
2,14,92,4,0,
2,14,104,4,0,
2,14,113,4,0,
2,14,148,4,0,
2,14,156,4,0,
2,14,164,4,0,
2,14,182,4,0,
2,14,188,4,0,
2,14,207,4,0,
2,14,213,4,0,
2,14,216,4,0,
2,14,218,4,0,
2,14,219,4,0,
2,14,237,4,0,
2,14,241,4,0,
2,14,249,4,0,
2,14,263,4,0,
2,14,412,4,0,
2,14,447,4,0,
2,14,474,4,0,
2,14,496,4,0,
2,14,497,4,0,
3,14,33,1,1,1
3,14,45,1,1,2
3,14,73,1,1,3
3,14,22,1,1,4
3,14,45,1,3,
3,14,73,1,7,
3,14,22,1,9,
3,14,77,1,13,1
3,14,79,1,13,2
3,14,36,1,15,
3,14,75,1,20,
3,14,230,1,23,
3,14,74,1,28,
3,14,38,1,31,
3,14,80,1,32,
3,14,388,1,39,
3,14,235,1,45,
3,14,76,1,53,
3,14,20,3,0,
3,14,173,3,0,
3,14,200,3,0,
3,14,202,3,0,
3,14,214,3,0,
3,14,235,3,0,
3,14,282,3,0,
3,14,335,3,0,
3,14,338,3,0,
3,14,388,3,0,
3,14,402,3,0,
3,14,520,3,0,
3,14,14,4,0,
3,14,15,4,0,
3,14,46,4,0,
3,14,63,4,0,
3,14,70,4,0,
3,14,76,4,0,
3,14,89,4,0,
3,14,92,4,0,
3,14,104,4,0,
3,14,113,4,0,
3,14,148,4,0,
3,14,156,4,0,
3,14,164,4,0,
3,14,182,4,0,
3,14,188,4,0,
3,14,207,4,0,
3,14,213,4,0,
3,14,216,4,0,
3,14,218,4,0,
3,14,219,4,0,
3,14,237,4,0,
3,14,241,4,0,
3,14,249,4,0,
3,14,263,4,0,
3,14,412,4,0,
3,14,416,4,0,
3,14,447,4,0,
3,14,474,4,0,
3,14,496,4,0,
3,14,497,4,0,
3,14,523,4,0,
4,14,10,1,1,1
4,14,45,1,1,2
4,14,52,1,7,
4,14,108,1,10,
4,14,82,1,16,
4,14,184,1,19,
4,14,424,1,25,
4,14,481,1,28,
4,14,163,1,34,
4,14,53,1,37,
4,14,83,1,43,
4,14,517,1,46,
4,14,44,2,0,
4,14,68,2,0,
4,14,187,2,0,
4,14,200,2,0,
4,14,232,2,0,
4,14,242,2,0,
4,14,246,2,0,
4,14,251,2,0,
4,14,264,2,0,
4,14,349,2,0,
4,14,394,2,0,
4,14,406,2,0,
4,14,407,2,0,
4,14,7,3,0,
4,14,9,3,0,
4,14,173,3,0,
4,14,200,3,0,
4,14,214,3,0,
4,14,231,3,0,
4,14,257,3,0,
4,14,519,3,0,
4,14,14,4,0,
4,14,15,4,0,
4,14,53,4,0,
4,14,70,4,0,
4,14,91,4,0,
4,14,92,4,0,
4,14,104,4,0,
4,14,126,4,0,
4,14,156,4,0,
4,14,157,4,0,
4,14,164,4,0,
4,14,182,4,0,
4,14,207,4,0,
4,14,213,4,0,
4,14,216,4,0,
4,14,218,4,0,
4,14,237,4,0,
4,14,241,4,0,
4,14,249,4,0,
4,14,261,4,0,
4,14,263,4,0,
4,14,280,4,0,
4,14,315,4,0,
4,14,317,4,0,
4,14,332,4,0,
4,14,337,4,0,
4,14,374,4,0,
4,14,421,4,0,
4,14,468,4,0,
4,14,488,4,0,
4,14,496,4,0,
4,14,497,4,0,
4,14,510,4,0,
5,14,10,1,1,1
5,14,45,1,1,2
5,14,52,1,1,3
5,14,52,1,7,
5,14,108,1,10,
5,14,82,1,17,
5,14,184,1,21,
5,14,424,1,28,
5,14,481,1,32,
5,14,163,1,39,
5,14,53,1,43,
5,14,83,1,50,
5,14,517,1,54,
5,14,7,3,0,
5,14,9,3,0,
5,14,173,3,0,
5,14,200,3,0,
5,14,214,3,0,
5,14,231,3,0,
5,14,257,3,0,
5,14,519,3,0,
5,14,14,4,0,
5,14,15,4,0,
5,14,53,4,0,
5,14,70,4,0,
5,14,91,4,0,
5,14,92,4,0,
5,14,104,4,0,
5,14,126,4,0,
5,14,156,4,0,
5,14,157,4,0,
5,14,164,4,0,
5,14,182,4,0,
5,14,207,4,0,
5,14,213,4,0,
5,14,216,4,0,
5,14,218,4,0,
5,14,237,4,0,
5,14,241,4,0,
5,14,249,4,0,
5,14,261,4,0,
5,14,263,4,0,
5,14,280,4,0,
5,14,315,4,0,
5,14,317,4,0,
5,14,332,4,0,
5,14,337,4,0,
5,14,374,4,0,
5,14,421,4,0,
5,14,468,4,0,
5,14,488,4,0,
5,14,496,4,0,
5,14,497,4,0,
5,14,510,4,0,
6,14,337,1,1,1
6,14,421,1,1,2
6,14,403,1,1,3
6,14,10,1,1,4
6,14,45,1,1,5
6,14,52,1,1,6
6,14,108,1,1,7
6,14,52,1,7,
6,14,108,1,10,
6,14,82,1,17,
6,14,184,1,21,
6,14,424,1,28,
6,14,481,1,32,
6,14,17,1,36,
6,14,163,1,41,
6,14,53,1,47,
6,14,83,1,56,
6,14,517,1,62,
6,14,257,1,71,
6,14,394,1,77,
6,14,7,3,0,
6,14,9,3,0,
6,14,173,3,0,
6,14,200,3,0,
6,14,214,3,0,
6,14,231,3,0,
6,14,257,3,0,
6,14,307,3,0,
6,14,355,3,0,
6,14,366,3,0,
6,14,406,3,0,
6,14,519,3,0,
6,14,14,4,0,
6,14,15,4,0,
6,14,19,4,0,
6,14,46,4,0,
6,14,53,4,0,
6,14,63,4,0,
6,14,70,4,0,
6,14,76,4,0,
6,14,89,4,0,
6,14,91,4,0,
6,14,92,4,0,
6,14,104,4,0,
6,14,126,4,0,
6,14,156,4,0,
6,14,157,4,0,
6,14,164,4,0,
6,14,182,4,0,
6,14,207,4,0,
6,14,213,4,0,
6,14,216,4,0,
6,14,218,4,0,
6,14,237,4,0,
6,14,241,4,0,
6,14,249,4,0,
6,14,261,4,0,
6,14,263,4,0,
6,14,280,4,0,
6,14,315,4,0,
6,14,317,4,0,
6,14,332,4,0,
6,14,337,4,0,
6,14,374,4,0,
6,14,411,4,0,
6,14,416,4,0,
6,14,421,4,0,
6,14,468,4,0,
6,14,488,4,0,
6,14,496,4,0,
6,14,497,4,0,
6,14,507,4,0,
6,14,510,4,0,
6,14,523,4,0,
6,14,525,4,0,
7,14,33,1,1,
7,14,39,1,4,
7,14,145,1,7,
7,14,110,1,10,
7,14,55,1,13,
7,14,44,1,16,
7,14,229,1,19,
7,14,182,1,22,
7,14,352,1,25,
7,14,401,1,28,
7,14,130,1,31,
7,14,334,1,34,
7,14,240,1,37,
7,14,56,1,40,
7,14,54,2,0,
7,14,114,2,0,
7,14,175,2,0,
7,14,193,2,0,
7,14,243,2,0,
7,14,252,2,0,
7,14,281,2,0,
7,14,287,2,0,
7,14,300,2,0,
7,14,323,2,0,
7,14,330,2,0,
7,14,362,2,0,
7,14,392,2,0,
7,14,453,2,0,
7,14,8,3,0,
7,14,173,3,0,
7,14,196,3,0,
7,14,214,3,0,
7,14,231,3,0,
7,14,334,3,0,
7,14,401,3,0,
7,14,428,3,0,
7,14,518,3,0,
7,14,57,4,0,
7,14,58,4,0,
7,14,59,4,0,
7,14,70,4,0,
7,14,91,4,0,
7,14,92,4,0,
7,14,104,4,0,
7,14,127,4,0,
7,14,156,4,0,
7,14,164,4,0,
7,14,182,4,0,
7,14,207,4,0,
7,14,213,4,0,
7,14,216,4,0,
7,14,218,4,0,
7,14,237,4,0,
7,14,240,4,0,
7,14,249,4,0,
7,14,258,4,0,
7,14,263,4,0,
7,14,280,4,0,
7,14,291,4,0,
7,14,317,4,0,
7,14,360,4,0,
7,14,374,4,0,
7,14,496,4,0,
7,14,503,4,0,
8,14,33,1,1,1
8,14,39,1,1,2
8,14,145,1,1,3
8,14,39,1,4,
8,14,145,1,7,
8,14,110,1,10,
8,14,55,1,13,
8,14,44,1,16,
8,14,229,1,20,
8,14,182,1,24,
8,14,352,1,28,
8,14,401,1,32,
8,14,130,1,36,
8,14,334,1,40,
8,14,240,1,44,
8,14,56,1,48,
8,14,8,3,0,
8,14,173,3,0,
8,14,196,3,0,
8,14,214,3,0,
8,14,231,3,0,
8,14,334,3,0,
8,14,401,3,0,
8,14,428,3,0,
8,14,518,3,0,
8,14,57,4,0,
8,14,58,4,0,
8,14,59,4,0,
8,14,70,4,0,
8,14,91,4,0,
8,14,92,4,0,
8,14,104,4,0,
8,14,127,4,0,
8,14,156,4,0,
8,14,164,4,0,
8,14,182,4,0,
8,14,207,4,0,
8,14,213,4,0,
8,14,216,4,0,
8,14,218,4,0,
8,14,237,4,0,
8,14,240,4,0,
8,14,249,4,0,
8,14,258,4,0,
8,14,263,4,0,
8,14,280,4,0,
8,14,291,4,0,
8,14,317,4,0,
8,14,360,4,0,
8,14,374,4,0,
8,14,496,4,0,
8,14,503,4,0,
9,14,430,1,1,1
9,14,33,1,1,2
9,14,39,1,1,3
9,14,145,1,1,4
9,14,110,1,1,5
9,14,39,1,4,
9,14,145,1,7,
9,14,110,1,10,
9,14,55,1,13,
9,14,44,1,16,
9,14,229,1,20,
9,14,182,1,24,
9,14,352,1,28,
9,14,401,1,32,
9,14,130,1,39,
9,14,334,1,46,
9,14,240,1,53,
9,14,56,1,60,
9,14,8,3,0,
9,14,173,3,0,
9,14,196,3,0,
9,14,200,3,0,
9,14,214,3,0,
9,14,231,3,0,
9,14,308,3,0,
9,14,324,3,0,
9,14,334,3,0,
9,14,401,3,0,
9,14,428,3,0,
9,14,518,3,0,
9,14,46,4,0,
9,14,57,4,0,
9,14,58,4,0,
9,14,59,4,0,
9,14,63,4,0,
9,14,70,4,0,
9,14,89,4,0,
9,14,91,4,0,
9,14,92,4,0,
9,14,104,4,0,
9,14,127,4,0,
9,14,156,4,0,
9,14,157,4,0,
9,14,164,4,0,
9,14,182,4,0,
9,14,207,4,0,
9,14,213,4,0,
9,14,216,4,0,
9,14,218,4,0,
9,14,237,4,0,
9,14,240,4,0,
9,14,249,4,0,
9,14,258,4,0,
9,14,263,4,0,
9,14,280,4,0,
9,14,291,4,0,
9,14,317,4,0,
9,14,360,4,0,
9,14,374,4,0,
